"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bosnia and Herzegovina","BIH","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","457113148.300681","461097788.886383","447954051.121513","494918763.784179","522426247.911281","719104034.77552","861312046.486934","986626010.944108","1137294581.3234","1985090826.51773","2237839618.46155","1880419695.07514","1860417391.33045","1867428631.41161","1725371767.38176","1767538125.14537","1809686899.42527","1643534819.59356","",
"Belarus","BLR","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184900000","251400000","465900000","907200000","918500000","934000000","746500000","1000900000","1132400000","1329300000","1681400000","1941400000","2324800000","2657300000","3521800000","4553400000","3683400000","4761200000","5573000000","6275700000","7465800000","7843500000","6617800000","",
"Belize","BLZ","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","17600000","21700000","26950000","35000000","50600000","60650000","82700000","89400000","107900000","115500000","108884500","117156000","124975000","124190000","121650000","138705801.44","143985394.04125","148303558.362026","169134709.856628","199443283.59334","226257921.78738","289165967.948777","343211733.555123","370937809.748201","355593394.166718","317468086.873916","325323439.196006","311059237.841995","371373899.467848","421489231.070618","465066845.390698","468157180.120912","",
"Bermuda","BMU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1490300000","1584967226.34531","1430910836.88224","1273095697.09881","1341703937.57266","1393200538.96527","1329671093.4548","1315909937.85499","1316616193.84904","1241543180.64509","",
"Bolivia","BOL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","52400000","51800000","67000000","95600000","79500000","85000000","74300000","95000000","85500000","87500000","109200000","120200000","116800000","130300000","132600000","143200000","150100000","165400000","176900000","174400000","166540000","308640000","307300000","289000000","314132000","317520844.082","355970703.156367","453140313.986","502018635.338","640925440.36676","672500685.94","676263732.930005","734106542.9","702270000","687803436.83","926988603.118849","1104605377.56617","1196530037.72258","1328876392.51036","1239898083.34128","",
"Brazil","BRA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","978000000","969000000","1155000000","1296000000","1377000000","1672000000","2181000000","1739000000","1648000000","1862000000","1993000000","1752000000","1885000000","2198000000","3070000000","3706000000","3268000000","4002000000","3917000000","4817000000","6005000000","4558000000","5686000000","7098000000","5984000000","7899295503.96932","7713098823.94955","7831806575.72443","8700674216.57317","10775143551.6266","13784037163.1938","16978311406.5288","22614703577.8683","28822057537.0293","26245160400","29273355305.75","35331414612.37","37393160189.37","36444123611.2","39046701888.6","32988918033.67","",
"Barbados","BRB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","51299999.97435","58991040.9570149","70838165.0147795","81665130.056943","88397266.4965743","94062678.6464001","106850000","138850000","175600000","257850000","331550000","334200000","343650000","344350000","382900000","420300000","442600000","488900000","570450000","675050000","627150000","594000000","603162785","673777527.2","799759597","811108604.2","868376183.4","890832741.265","948167965.5","950344440.68","998770763","977135145.15","950639660.65","1063502670.11666","1110593245.90961","1426102926.38016","1578694456.20742","1667054105.98","1791798646.1595","1464790051.495","1600603356.4684","1256515584.4204","1206039519.8852","1385498226.55485","","","",
"Brunei Darussalam","BRN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","482139256.281057","426717970.781921","436353738.684481","544237616.792745","616113165.805626","744542032.832121","813339672.983584","867252989.290253","914911081.627098","462074227.483236","501693119.042171","482855898.001992","492589892.54231","556811340.224647","640037151.871578","",
"Bhutan","BTN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42010011.1644936","51814103.7982021","50729513.2171894","53262681.061073","66884226.0684358","79692408.5819227","97404284.3644273","121202333.791841","122738004.668632","122132900.608765","",
"Botswana","BWA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","30831321.9514716","36110009.0690288","39313047.108725","36949515.6557869","40122371.2363773","73981150.9845684","68958236.7274814","76432935.5025748","84144248.6495552","78174741.753198","52245212.6143953","72266940.6748783","89758970.0649566","74921216.5127453","81890495.8634959","183018679.461551","185945814.034399","168457974.380548","173787439.51384","174622682.957583","236418160.262222","145381290.116209","186982265.809251","240092951.053981","304580366.481434","305739182.078799","342489910.93835","440786323.302266","625719731.550404","742729520.247965","820125894.119783","762989065.464413","835949154.406891","644574656.622591","840608080.653802","939215304.088014","1154649200.9371","1009115670.03169","1166268861.89851","1244987983.41399","1174470756.97952","",
"Central African Republic","CAF","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","20905269.2624964","25476847.7718218","10022487.4031639","7880554.2577553","10525097.3825722","14053293.14969","10635951.8215841","10152036.4542331","11665773.5780555","17337273.0247298","20363578.8973472","18267693.597656","14990205.6080561","17369120.8309763","16458299.5134887","15867510.7732471","17029086.2885705","0","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","1029811615.14015","910790033.412022","976314483.952279","1048476178.10035","1147581384.48112","1280313022.52336","1452274245.70713","2005235298.36922","1701700199.91468","1955367018.31246","2286137525.38717","2473251993.21783","2608195529.56408","3041039268.14902","3911996132.53961","4008037603.47168","4675517755.28423","4677792441.74325","5132263327.00092","6169707609.31377","7114914288.86418","8654149061.64884","8435532552.4086","9150820604.79604","9718156678.97592","10257195524.1218","11410845029.3442","12584081176.5009","15086573881.4751","16799836425.6439","17877746230.8636","19016586487.4467","19295552246.1842","20329542246.2077","21913524070.4571","24370322758.2634","27584363515.3699","29655154611.9434","32274990771.3923","34676643349.9195","39262468423.2393","38057783556.9238","39967924529.7265","44181963063.2276","51986107725.655","58904919969.6091","64951067554.2602","69638189268.1498","73914703831.6786","67447591869.3583","75296065164.4785","83723126007.7904","87772668831.4449","88701234586.395","85235170153.9111","77092286020.9284","",
"Central Europe and the Baltics","CEB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21365998671.2966","26883919993.1917","36765294183.5148","39176567550.7158","38972570601.9021","42356921110.0651","39461034466.1002","43659796279.0138","46600997686.0855","51236508491.9867","64070910456.4926","73156030946.7691","86846694337.2187","101813423762.059","127349634884.874","154482180148.377","127257021297.452","130871805609.261","150707120678.734","149122509361.283","164492883147.868","177018230858.553","159936938277.46","",
"Switzerland","CHE","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","4289160401.80699","5436409094.48165","5956770542.02667","6887693393.72592","6816458718.14687","6979318377.45143","8230030531.94482","8151736760.58868","8817215241.38984","12029462177.4243","15218030322.5049","16113578897.0136","14738634106.0868","17600873430.5544","18504361368.9062","19935097797.7579","20373416650.6875","21370227591.3628","24301859879.3626","24625205297.6918","23611661857.8011","25171033946.3995","27720589533.4803","44607917508.9569","42145194173.1376","44469584304.8596","51035150579.785","59599821160.415","64959375950.7515","69837228018.7927","83880048204.0512","94885167887.4539","90011663053.1827","92796465838.0075","105784552275.222","107365677529.185","112424376047.814","119312583717.929","110909044144.695","",
"Channel Islands","CHI","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","237000000","278000000","379000000","437000000","729000000","1218000000","1118000000","886000000","756000000","620000000","656720000","999160000","1005700000","1037800000","1478250000","1785700000","2060200000","2284800000","2443400000","2763900000","3248900000","3495258163.34284","3799737934.79738","3859590069.87113","3780415979.94566","3994866402.75766","4071078254.65743","4316904836.12256","4991416493.04605","5949828065.34794","7040666100","7727924388.04799","8851859505.91205","10716216487.2446","8492832800.57444","11148734553","13105282108","12386862286.778","12355305592.1627","11010819691.5869","9777057580.34704","",
"China","CHN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","2476000000","2466000000","2783000000","2925000000","3612000000","4233000000","4721000000","4452000000","5748000000","6864000000","9108000000","10992000000","16354000000","18429960000","20567000000","57485000000","62363000000","66007000000","78423162000","89676000000","101802993118.444","57319786078.7109","78780946446.4378","77974071360.9067","93492297849.761","124894233708.619","144677133869.923","121613966894.24","116577514573.224","200294234924.82","200585556141.878","205778170532.677","279422780304.642","285475540295.615","",
"Cote d'Ivoire","CIV","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","799246372.928117","815045058.544306","888586264.03202","986658996.367731","1010357886.71531","1026370272.08072","869915705.18148","846024739.399399","789634924.212556","","","",
"Cameroon","CMR","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","153899577.650894","196626845.648935","323850448.969965","348306298.995924","350088291.609825","392810541.308354","408118240.14132","392098378.201928","456391950.857566","437561122.824335","384578831.528658","428506843.203241","456665234.835134","369162684.440987","396764476.533446","386487226.691235","363183582.313685","308534854.514685","242352762.670873","474813500.290881","435879989.683546","508213574.270351","419706779.789635","677111046.13056","933296809.651324","1004429338.07536","592709762.507991","1056229121.43561","856683017.038755","900009373.576135","1239023903.96018","1354666995.23287","1141240248.92481","1239853603.64682","1808559620.01577","1542932676.06299","1887949820.46385","","","",
"Congo, Rep.","COG","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","54237456.9280442","64497433.0072278","103502678.98414","70731598.4940694","52658766.7090158","71058550.0678155","66029430.9687856","55468627.6598251","70397298.3127731","75092360.8750541","66305583.6905181","72725380.6162487","65377532.4151784","64869024.5739485","53647298.3285975","40259556.9659277","48630712.6205282","61474700.5253843","59991895.6179159","85473047.52149","111773542.927913","139331039.374682","129910227.800696","136904131.272897","157767376.018987","184617931.959818","183234494.528336","206457966.188554","251295630.926728","302754134.589974","","","","","","","","","",
"Colombia","COL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","153999999.999261","172999999.999234","186999999.998933","212631759.997867","219313420","274189899.999633","355981439.996327","419053650","553924319.999691","701929759.998534","745823999.998741","1062980000","1293992779.99951","1114369480","1294097739.99924","819000000","901000000","824000000","1080000000","1132000000","1374000000","1252000000","1548000000","1540000000","1932300000","2456800000","1501513497.96806","1617515986.3446","2109215600.44462","2067027519.30735","1857712934.5058","1849483621.75618","1996009592.19461","2134686519.72146","1811344107.00644","1866535964.3755","2382533895.5308","2921764810.64764","3675423178.14576","3898702254.78654","4496315961.73645","4494587048.3326","5023152633.00829","5543325234.22443","6335288136.29142","6782507619.53143","6830896093.61282","7051814642.1832","",
"Comoros","COM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","2238759.00950301","1067239.19789981","2069363.43037937","2117761.12861674","1618023.12788304","2437345.98649271","3869444.15738916","7856015.88132969","7077490.24512093","7752215.09975024","6192553.5793834","13484363.9640386","15210271.3607391","21305961.8766612","20598041.0328596","27046368.7813634","","","","","","","","26914401.7036716","31947397.4258283","38708163.2040678","42646032.6147019","50548578.0278296","56157958.6359192","50538621.9956205","55394533.031402","63529125.4567058","60932329.4803892","","","","",
"Cabo Verde","CPV","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","957514.222609758","4681591.23411989","8193305.37248399","10078427.8750235","17389994.7978709","27454254.3462689","33483603.2227833","23734088.666705","24814565.5614864","28337417.9481128","19632148.4837683","22712179.5538904","25014592.7755341","33677211.1531029","30421519.4305053","30905978.9686735","35899442.4069248","41373006.7467869","59568138.4455239","70373250.8281727","81618717.1323292","79978173.8917138","98894050.6644424","99589876.6932275","122539476.680314","146201125.21679","191659278.610558","224211607.277988","260491706.101251","365567271.142906","473703332.495853","581029187.098378","472234003.531682","487325723.281517","568949127.786452","581040193.40354","633671876.471788","615350236.672876","503752169.208362","",
"Costa Rica","CRI","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","122900000","135200000","147500000","183000000","163800000","233200000","264100000","256600000","257600000","286400000","317200000","407900000","472800000","583100000","662300000","808100000","1004900000","1162800000","1112100000","1303820000","1398904000","2080330000","3569799079","2278016762.14663","2286064495.46964","2239106571.47308","2424376944.54084","2746131001.07354","3160046419.9766","3549442459.55517","4088186219.03823","4574061392.48707","4127534257.00143","4989767976.54191","5756704144.34814","6178696263.97875","6922563993.47843","6922959399.31011","7333321244.95521","",
"Caribbean small states","CSS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","1091591252.28896","1225458087.293","1409991924.65405","1708537262.68389","2043353277.08036","2134006977.17294","2260727661.29231","2244354069.602","2449221386.91351","2775939789.38659","3141889526.08614","3337467087.44277","3536053135.88075","4000787735.7695","4304321055.21828","4226034526.95632","4542440586.47596","4840329814.17607","5324272746.35977","5512958329.04169","5815379634.4143","6133173261.38138","6319743832.98113","6903570813.25684","7114672737.22673","6737235117.76549","7012884142.31546","7547604905.45266","8332273017.45414","9086858088.30532","9473135066.00336","10041104092.2927","10257861508.4809","9263721539.68731","9686841046.08117","14308999566.0093","14810929660.0994","14974394791.8469","","","",
"Cuba","CUB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1342016759.77653","1485770949.72067","1635715083.79888","1752977653.63129","1536111731.84357","",
